Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Region_Local,Region_Mid,Region_Broad,Industry_Category
Rox,https://www.crunchbase.com/organization/entropy-ab83,2024-01-01,"Avanika Narayan, Chris R., Diogo Ribeiro, Ishan Mukherjee, Shriram Sridharan",11-50,Rox is an AI-powered sales productivity platform that helps businesses secure and grow revenue.,"Artificial Intelligence (AI), FinTech, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,1,50000000.0,USD,2024-11-20,Series A,50000000.0,USD,1.0,"General Catalyst, Sequoia Capital, South Park Commons",0.0,3.9,6.5,176.00%,Y,San Francisco Bay Area,West Coast,Western US,Fintech
Arcee.ai,https://www.crunchbase.com/organization/arcee-ai,2023-02-01,"Brian Benedict, Jacob Solawetz, Mark McQuade",11-50,Arcee.ai develops small language models to automate workflows that improve efficiency and scalability in businesses.,"Artificial Intelligence (AI), Generative AI, Intelligent Systems, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,3,0.0,USD,2024-07-23,Secondary Market,29500000.0,USD,1.0,"Emergence Capital, Long Journey Ventures, WndrCo, Flybridge, AIN Ventures",-0.4,0.0,2.9,-17.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
ModRetro,https://www.crunchbase.com/organization/modretro-27fb,2024-01-01,Palmer Luckey,11-50,ModRetro is a manufacturing company that develops electronic devices such as video gaming devices and gaming consoles.,"Electronics, Gaming, Video Games","Consumer Electronics, Gaming, Hardware","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Unknown,1,19099993.0,USD,2024-12-09,Undisclosed,19099993.0,USD,0.0,Unknown,5.1,1.8,8.6,133.00%,N,Greater Los Angeles Area,West Coast,Western US,Media & Marketing
Candid Therapeutics,https://www.crunchbase.com/organization/candid-therapeutics,2024-01-01,Unknown,11-50,Candid Therapeutics is a biotechnology company that focuses on the treatment of a range of immunological conditions.,"Biotechnology, Product Research, Therapeutics","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",Active,Early Stage Venture,1,370000000.0,USD,2024-09-09,Series A,370000000.0,USD,4.0,"OrbiMed, Franklin Templeton, Qiming Venture Partners, Fidelity, Third Rock Ventures",-0.3,6.0,-0.7,54.00%,N,Greater San Diego Area,West Coast,Western US,Healthcare & Biotech
Figure Markets,https://www.crunchbase.com/organization/figure-markets,2024-01-01,"June Ou, Michael Cagney",101-250,Figure Markets is a company that uses blockchain technology to construct the future of private capital markets.,Blockchain,"Blockchain and Cryptocurrency, Other","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,1,60000000.0,USD,2024-03-18,Series A,60000000.0,USD,3.0,"Pantera Capital, CMT Digital, Faction, Ribbit Capital, Jump Crypto",-0.5,-0.9,1.1,-36.00%,Y,San Francisco Bay Area,West Coast,Western US,Fintech
Ask Sage,https://www.crunchbase.com/organization/ask-sage,2023-01-01,Nicolas Chaillan,11-50,Ask Sage is a GPT-driven platform that provides a cutting-edge AI assistant designed specifically for government teams and corporations.,"Artificial Intelligence (AI), Government, GovTech, Information Technology","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software","Bentonville, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,Early Stage Venture,1,17000000.0,USD,2024-12-09,Series A,17000000.0,USD,1.0,"Sapphire Ventures, Mucker Capital",-0.4,-2.2,1.7,117.00%,N,Washington DC Metro Area,East Coast,Southern US,AI & Data
Endolith,https://www.crunchbase.com/organization/endolith,2023-01-01,Liz Dennett,11-50,Harnessing Microbes to Fuel Sustainable Mining,"Industrial Manufacturing, Mining, Mining Technology","Manufacturing, Natural Resources","Westminster, Colorado, United States","Greater Denver Area, Western US",Active,Seed,1,5130000.0,USD,2024-09-05,Seed,5130000.0,USD,2.0,"Nucleus Capital, Collaborative Fund, Founders Factory, Overture VC, Nomadic Venture Partners",0.0,1.4,-0.8,14.00%,N,Greater Denver Area,Unknown,Western US,Industrial & Other
LendAPI,https://www.crunchbase.com/organization/lendapi,2024-03-01,Timothy Li,11-50,LendAPI is a Lending & Embedded Finance Platform Builder. You can launch any financial products in minutes.,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,3200000.0,USD,2024-11-06,Seed,3200000.0,USD,1.0,"Plug and Play, Techstars, Great North Ventures, AlleyCorp, Cohen Circle",-0.2,6.8,8.0,193.00%,Y,Greater Los Angeles Area,West Coast,Western US,Fintech
Odyssey,https://www.crunchbase.com/organization/odyssey-4336,2023-01-01,"Jeff Hawke, Oliver Cameron",11-50,Odyssey is an AI platform that enables storytellers to create cinematic video content and editable 3D scenes using visual AI technology.,"Artificial Intelligence (AI), Graphic Design, Virtual Reality","Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,2,18000000.0,USD,2024-11-13,Series A,27000000.0,USD,2.0,"EQT Ventures, Air Street Capital, GV, DCVC, Jeff Dean",-0.4,-1.5,-1.1,37.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Abstract Security,https://www.crunchbase.com/organization/abstract-security,2023-01-01,"Chris Camacho, Colby DeRodeff",11-50,Abstract Security provides data management solutions for security and compliance analytics.,"Big Data, Cyber Security, Information Technology","Data and Analytics, Information Technology, Privacy and Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,3,15000000.0,USD,2024-10-28,Series A,23500000.0,USD,4.0,"Liquid 2 Ventures, Rally Ventures, Crosslink Capital, Munich Re Ventures",-0.7,-3.2,-1.9,47.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
OpenPay,https://www.crunchbase.com/organization/openpay-7809,2023-12-22,Lance O. Co Ting Keh,11-50,"OpenPay is a leading SaaS platform for subscription management, optimizing payments, reducing churn, and maximizing revenue globally.","Enterprise Software, Finance, Financial Services, Information Technology, Payments, Software","Financial Services, Information Technology, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,M&A,1,500000.0,USD,2024-02-14,Seed,500000.0,USD,0.0,Unknown,-0.6,8.8,9.2,-25.00%,N,Greater New York Area,East Coast,Northeastern US,Fintech
Noctal,https://www.crunchbase.com/organization/noctal,2024-01-01,"Isaiah Chavous, James Paul",11-50,Noctal is a SaaS company building the future of sound design.,"Artificial Intelligence (AI), Audio, Audio Recording and Production, Content Creators, Film, Gaming, SaaS, Social Media, TV, Video Editing","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Gaming, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Active,Seed,1,1795000.0,USD,2024-12-02,Seed,1795000.0,USD,0.0,Unknown,-0.1,-0.1,0.0,400.00%,N,Greater Los Angeles Area,West Coast,Western US,AI & Data
Pi Squared,https://www.crunchbase.com/organization/pi-squared,2023-01-01,"Grigore Rosu, Patrick MacKay",11-50,"Pi Squared enables trustless remote computing, AI, and interoperable smart contracts for any blockchain or dApp.","Blockchain, Software","Blockchain and Cryptocurrency, Other, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Active,Seed,1,12500000.0,USD,2024-07-02,Seed,12500000.0,USD,2.0,"Samsung NEXT, Robot Ventures, Polychain, Bloccelerate VC, Ironwood Ventures",-0.2,4.0,6.1,14.00%,Y,Greater Chicago Area,Great Lakes,Midwestern US,Fintech
Amigo AI,https://www.crunchbase.com/organization/amigo-ai,2024-02-01,"Ali Khokhar, John Xing",11-50,"Amigo is an AI platform that builds, trains, and deploys Agents to help enterprises scale.","Artificial Intelligence (AI), B2B, Enterprise Software, Generative AI, Software","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,6300000.0,USD,2024-11-21,Seed,6300000.0,USD,2.0,"General Catalyst, SV Angel, Comma Capital, GSV Ventures, Coho Deeptech",-0.5,-1.9,6.5,256.00%,Y,Greater New York Area,East Coast,Northeastern US,AI & Data
Minerva,https://www.crunchbase.com/organization/minerva-2072,2023-03-01,Unknown,11-50,Minerva builds artificial intelligence that understands consumer behavior,"Analytics, Artificial Intelligence (AI), Database","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Unknown,2,8164660.0,USD,2024-09-10,Venture - Series Unknown,8164660.0,USD,0.0,Roman Smolevskiy,-0.2,-0.3,3.5,9.00%,N,Greater New York Area,East Coast,Northeastern US,AI & Data
PGxAI,https://www.crunchbase.com/organization/pgxai,2023-08-01,"Allan Gobbs, Mike Zack",11-50,Precision medicine platform powered by GenAI and real world evidence.,"Biopharma, Life Science, Medical, Precision Medicine, Software","Biotechnology, Health Care, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,5,1500000.0,USD,2024-12-24,Seed,2000000.0,USD,5.0,"Google, Microsoft, Amazon Web Services, Intersystems, ATEM Capital Fund LP",-0.3,-0.9,-0.4,9.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,Healthcare & Biotech
GenHealth.ai,https://www.crunchbase.com/organization/genhealth,2023-01-01,Ricky Sahu,11-50,GenHealth.ai provides healthcare solutions using generative AI trained on encoded medical events.,"Artificial Intelligence (AI), Developer APIs, Generative AI, Health Care, Information Technology","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Vienna, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",Active,Seed,2,0.0,USD,2024-04-02,Seed,12999995.0,USD,3.0,"Plug and Play, Craft Ventures, Obvious Ventures",-0.3,6.2,3.8,27.00%,Y,Washington DC Metro Area,East Coast,Southern US,Healthcare & Biotech
Sapien,https://www.crunchbase.com/organization/sapien-f38e,2023-09-15,"Edison Qu, Henry Chen, Kelly Ryan, Trevor Koverko",11-50,Sapien is engaged in aiding organizations in preparing data for AI training through a consumer game called 'Train2Earn.',"Artificial Intelligence (AI), Data Management, Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,10500000.0,USD,2024-10-30,Seed,15500000.0,USD,1.0,"Variant, Yield Guild Games, Primitive Ventures, Gabby Dizon, HFO",-0.7,-2.4,-0.3,0.00%,N,San Francisco Bay Area,West Coast,Western US,AI & Data
UnifyApps,https://www.crunchbase.com/organization/unifyapps,2023-01-01,"Abhinav Singi, Abhishek Khurana, Kavish Manubolu, Pavitar Singh, Rachit Mittal, Rahul Anishetty, Shivam Satrawal, Sumeet Nandal",101-250,UnifyApps automates workflows and quickly connects various applications.,"Finance, Manufacturing","Financial Services, Manufacturing","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Early Stage Venture,2,20000000.0,USD,2024-11-08,Series A,31000000.0,USD,2.0,"Elevation Capital, ICONIQ Growth",2.7,0.0,4.3,156.00%,N,San Francisco Bay Area,West Coast,Western US,Fintech
Flywl,https://www.crunchbase.com/organization/flywheel-dynamix,2024-01-01,Unknown,11-50,Flywl is a cloud meta-marketplace transforming how enterprises buy and sell cloud software.,"Internet, Marketplace","Commerce and Shopping, Internet Services","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,1,7000000.0,USD,2024-11-20,Seed,7000000.0,USD,1.0,"BEENEXT, Storm Ventures, FEBE Ventures, Foster Ventures, Tekton Ventures",-0.4,-1.5,7.5,100.00%,N,San Francisco Bay Area,West Coast,Western US,Enterprise Software
Opsin,https://www.crunchbase.com/organization/opsin,2024-01-01,"James Pham, Jeremy Mailen, Oz Wasserman",11-50,Securely Enable AI Without the Risk of Oversharing,"Cyber Security, Generative AI, Information Technology, Machine Learning, SaaS, Security, Software Engineering","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,2,0.0,USD,2024-10-07,Seed,7000000.0,USD,2.0,"Plug and Play, Race Capital, CapitalX, Lockstep",0.0,-0.1,-0.5,18.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
CervoMed,https://www.crunchbase.com/organization/cervomed,2023-01-01,Unknown,11-50,CervoMed a clinical-stage firm focused on discovering therapies for brain degenerative illnesses.,"Health Care, Pharmaceutical",Health Care,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,IPO,1,149400000.0,USD,2024-03-28,Post-IPO Debt,149400000.0,USD,1.0,"RA Capital Management, Soleus Capital, Armistice Capital, Special Situations Funds",-0.8,-2.0,-0.7,7.00%,N,Greater Boston Area,East Coast,Northeastern US,Healthcare & Biotech
Lightsynq,https://www.crunchbase.com/organization/lightsynq,2024-01-01,"Bart Machielse, David Levonian, Mihir Bhaskar",11-50,Lightsynq develops universal optical quantum interconnects that bridge the gap to large-scale quantum computers.,"Information Technology, Quantum Computing, Web Development","Information Technology, Science and Engineering, Software","Brighton, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,M&A,1,18000000.0,USD,2024-11-19,Series A,18000000.0,USD,1.0,"Safar Partners, IAG Capital Partners, IQT, Element Six, Murata Manufacturing",0.3,3.1,-0.6,0.00%,N,Greater Boston Area,East Coast,Northeastern US,AI & Data
Trident IoT,https://www.crunchbase.com/organization/trident-iot,2023-01-01,"Bill Scheffler, Laura Otto, Mariusz Malkowski, Michael Lamb",11-50,Trident IoT is a semiconductor vendor and RF technology business focusing on reducing time-to-market for connected device makers.,"Manufacturing, Service Industry","Manufacturing, Other","Carlsbad, California, United States","Greater San Diego Area, West Coast, Western US",Active,Seed,1,10000000.0,USD,2024-04-11,Seed,10000000.0,USD,1.0,Todd Pedersen,0.8,6.9,5.2,48.00%,N,Greater San Diego Area,West Coast,Western US,Industrial & Other
Supply Pay,https://www.crunchbase.com/organization/supply-pay,2023-11-11,"J. Ayala, W. Steele",11-50,Supply Pay is a software company that aims to streamline the global supply chain with insightful products & services.,"Artificial Intelligence (AI), FinTech, Information Technology, Logistics","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software, Transportation","Mcallen, Texas, United States",Southern US,Active,Seed,3,2500000.0,USD,2024-11-01,Seed,2710000.0,USD,1.0,"Antler, Supply Change Capital, Ollin Ventures, Audaz Capital",0.3,0.0,8.3,240.00%,Y,Southern US,Unknown,Unknown,Fintech
brand.ai,https://www.crunchbase.com/organization/brand-ai,2023-01-01,"Chelsey Susin Kantor, Michael Carter, Nate Bosshard",11-50,"brand.ai is domain-specific AI for brand builders, agencies, and the Fortune 500.","Artificial Intelligence (AI), Brand Marketing, Marketing, Marketing Automation, Software","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Active,Seed,2,5200000.0,USD,2024-10-01,Seed,6200000.0,USD,1.0,"Uncork Capital, Offline Ventures",0.0,-0.1,1.8,129.00%,Y,San Francisco Bay Area,West Coast,Western US,AI & Data
EvolutionaryScale,https://www.crunchbase.com/organization/evolutionaryscale,2023-07-20,Alex Rives,11-50,EvolutionaryScale is a developer of biological artificial intelligence models for therapeutic design.,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Health Care","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,142000000.0,USD,2024-06-25,Seed,142000000.0,USD,3.0,"Lux Capital, NVentures, Amazon Web Services, Daniel Gross, Nat Friedman",-0.2,-0.8,-1.3,45.00%,Y,Greater New York Area,East Coast,Northeastern US,Healthcare & Biotech
DatologyAI,https://www.crunchbase.com/organization/datologyai,2023-09-05,"Amro Abbas, Ari Morcos, Bogdan Gaza, Fan Pan, Jack Urbanek, Josh McGrath, Matthew Leavitt, Ning Cao, Pratyush Maini",11-50,DatologyAI is an AI-data curation startup that develops deep learning tools for automatic selection in data training.,"Artificial Intelligence (AI), Data Center, Data Integration, Database, Information Technology","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Early Stage Venture,2,46000000.0,USD,2024-05-08,Series A,57650000.0,USD,2.0,"Radical Ventures, Quiet Capital, Felicis, Amplify Partners, M12 - Microsoft's Venture Fund",0.0,-0.2,-0.1,77.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Pi Health,https://www.crunchbase.com/organization/pi-health,2023-01-01,"Bobby Reddy, Geoffrey Kim",51-100,Pi Health is a provider of platforms to assist oncology-related clinical trials with identifying sites and helping sponsors manage sites,Unknown,Unknown,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",Active,Early Stage Venture,1,30877444.0,USD,2024-03-14,Series A,30877444.0,USD,2.0,"Alumni Ventures, Obvious Ventures, AlleyCorp, Invus",6.9,7.5,7.4,-5.00%,N,Greater Boston Area,East Coast,Northeastern US,Unknown
OpenGradient,https://www.crunchbase.com/organization/vanna-labs,2024-03-28,"Adam Balogh, Matthew Wang",11-50,OpenGradient is the leading research lab building at the frontier of AI and blockchain computing.,"Artificial Intelligence (AI), Blockchain, Finance, Information Technology, Machine Learning, Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Internet Services, Other, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,Seed,1,8500000.0,USD,2024-10-09,Seed,8500000.0,USD,0.0,"Andreessen Horowitz, Black Dragon Capital, Coinbase Ventures, NEAR, SV Angel",6.7,6.2,5.3,-12.00%,N,Greater New York Area,East Coast,Northeastern US,Fintech
Yupp,https://www.crunchbase.com/organization/yupp-6067,2024-01-01,Pankaj Gupta,11-50,Yupp operates as an AI-focused evaluation platform that gamifies human feedback to improve large language models.,"Artificial Intelligence (AI), Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,Seed,1,33000000.0,USD,2024-06-01,Seed,33000000.0,USD,1.0,"Coinbase Ventures, a16z crypto, Jeff Dean, Aravind Srinivas, Gokul Rajaram",0.0,-0.1,4.5,380.00%,Y,San Francisco Bay Area,Silicon Valley,Western US,AI & Data
Rivet Industries,https://www.crunchbase.com/organization/rivet-industries,2024-01-01,Unknown,11-50,Rivet Industries is a company that offers tech services.,"Information Technology, SaaS, Software","Information Technology, Software","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",Active,Unknown,1,12571994.0,USD,2024-09-04,Venture - Series Unknown,12571994.0,USD,0.0,Unknown,-0.1,7.1,6.9,110.00%,Y,Washington DC Metro Area,Unknown,Southern US,Enterprise Software
Spendbase,https://www.crunchbase.com/organization/spendbase,2023-01-01,Andrew Alex,51-100,"The ultimate solution for tracking, optimizing, and reducing software costs","B2B, FinTech, SaaS, Software","Financial Services, Other, Software","Lewes, Delaware, United States","East Coast, Southern US",Active,Seed,4,0.0,USD,2024-10-01,Seed,160008.0,USD,3.0,"Google for Startups, Ukrainian Startup Fund, Seeds of Bravery, Unpopular Ventures, Glovo Ukraine Startup Lab",-0.3,3.5,-0.3,26.00%,Y,East Coast,Unknown,Southern US,Fintech
