Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Rox,https://www.crunchbase.com/organization/entropy-ab83,1/1/2024,"Avanika Narayan, Chris R., Diogo Ribeiro, Ishan Mukherjee, Shriram Sridharan",11-50,Rox is an AI-powered sales productivity platform that helps businesses secure and grow revenue.,"Artificial Intelligence (AI), FinTech, Software","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,1,"$50,000,000.00",USD,11/20/2024,Series A,"$50,000,000.00",USD,1,"General Catalyst, Sequoia Capital, South Park Commons",,,0.0,3.9,6.5,176.00%,Y,0,13,
Arcee.ai,https://www.crunchbase.com/organization/arcee-ai,2/1/2023,"Brian Benedict, Jacob Solawetz, Mark McQuade",11-50,Arcee.ai develops small language models to automate workflows that improve efficiency and scalability in businesses.,"Artificial Intelligence (AI), Generative AI, Intelligent Systems, Machine Learning","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",33101,,$1M to $10M,Active,Early Stage Venture,3,,,7/23/2024,Secondary Market,"$29,500,000.00",USD,1,"Emergence Capital, Long Journey Ventures, WndrCo, Flybridge, AIN Ventures",,,-0.4,0.0,2.9,-17.00%,N,0,,
ModRetro,https://www.crunchbase.com/organization/modretro-27fb,1/1/2024,Palmer Luckey,11-50,ModRetro is a manufacturing company that develops electronic devices such as video gaming devices and gaming consoles.,"Electronics, Gaming, Video Games","Consumer Electronics, Gaming, Hardware","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",92604,,,Active,,1,"$19,099,993.00",USD,12/9/2024,Undisclosed,"$19,099,993.00",USD,,,,,5.1,1.8,8.6,133.00%,N,0,,
Candid Therapeutics,https://www.crunchbase.com/organization/candid-therapeutics,1/1/2024,,11-50,Candid Therapeutics is a biotechnology company that focuses on the treatment of a range of immunological conditions.,"Biotechnology, Product Research, Therapeutics","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",92130,,,Active,Early Stage Venture,1,"$370,000,000.00",USD,9/9/2024,Series A,"$370,000,000.00",USD,4,"OrbiMed, Franklin Templeton, Qiming Venture Partners, Fidelity, Third Rock Ventures",,,-0.3,6.0,-0.7,54.00%,N,0,,
Figure Markets,https://www.crunchbase.com/organization/figure-markets,1/1/2024,"June Ou, Michael Cagney",101-250,Figure Markets is a company that uses blockchain technology to construct the future of private capital markets.,Blockchain,"Blockchain and Cryptocurrency, Other","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,Women Founded,,Active,Early Stage Venture,1,"$60,000,000.00",USD,3/18/2024,Series A,"$60,000,000.00",USD,3,"Pantera Capital, CMT Digital, Faction, Ribbit Capital, Jump Crypto",,,-0.5,-0.9,1.1,-36.00%,Y,0,11,
Ask Sage,https://www.crunchbase.com/organization/ask-sage,1/1/2023,Nicolas Chaillan,11-50,Ask Sage is a GPT-driven platform that provides a cutting-edge AI assistant designed specifically for government teams and corporations.,"Artificial Intelligence (AI), Government, GovTech, Information Technology","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software","Bentonville, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",22610-1769,,$1M to $10M,Active,Early Stage Venture,1,"$17,000,000.00",USD,12/9/2024,Series A,"$17,000,000.00",USD,1,"Sapphire Ventures, Mucker Capital",,,-0.4,-2.2,1.7,117.00%,N,0,,can send application thru website
Endolith,https://www.crunchbase.com/organization/endolith,1/1/2023,Liz Dennett,11-50,Harnessing Microbes to Fuel Sustainable Mining,"Industrial Manufacturing, Mining, Mining Technology","Manufacturing, Natural Resources","Westminster, Colorado, United States","Greater Denver Area, Western US",80031,"Women Founded, Women Led",,Active,Seed,1,"$5,130,000.00",USD,9/5/2024,Seed,"$5,130,000.00",USD,2,"Nucleus Capital, Collaborative Fund, Founders Factory, Overture VC, Nomadic Venture Partners",,,0.0,1.4,-0.8,14.00%,N,0,,can send application thru website
LendAPI,https://www.crunchbase.com/organization/lendapi,3/1/2024,Timothy Li,11-50,LendAPI is a Lending & Embedded Finance Platform Builder. You can launch any financial products in minutes.,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",,,,Active,Seed,1,"$3,200,000.00",USD,11/6/2024,Seed,"$3,200,000.00",USD,1,"Plug and Play, Techstars, Great North Ventures, AlleyCorp, Cohen Circle",,,-0.2,6.8,8.0,193.00%,Y,0,3,
Odyssey,https://www.crunchbase.com/organization/odyssey-4336,1/1/2023,"Jeff Hawke, Oliver Cameron",11-50,Odyssey is an AI platform that enables storytellers to create cinematic video content and editable 3D scenes using visual AI technology.,"Artificial Intelligence (AI), Graphic Design, Virtual Reality","Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,Early Stage Venture,2,"$18,000,000.00",USD,11/13/2024,Series A,"$27,000,000.00",USD,2,"EQT Ventures, Air Street Capital, GV, DCVC, Jeff Dean",,,-0.4,-1.5,-1.1,37.00%,Y,0,2,
Abstract Security,https://www.crunchbase.com/organization/abstract-security,1/1/2023,"Chris Camacho, Colby DeRodeff",11-50,Abstract Security provides data management solutions for security and compliance analytics.,"Big Data, Cyber Security, Information Technology","Data and Analytics, Information Technology, Privacy and Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,3,"$15,000,000.00",USD,10/28/2024,Series A,"$23,500,000.00",USD,4,"Liquid 2 Ventures, Rally Ventures, Crosslink Capital, Munich Re Ventures",7/24/2024,,-0.7,-3.2,-1.9,47.00%,N,0,,
OpenPay,https://www.crunchbase.com/organization/openpay-7809,12/22/2023,Lance O. Co Ting Keh,11-50,"OpenPay is a leading SaaS platform for subscription management, optimizing payments, reducing churn, and maximizing revenue globally.","Enterprise Software, Finance, Financial Services, Information Technology, Payments, Software","Financial Services, Information Technology, Payments, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,M&A,1,"$500,000.00",USD,2/14/2024,Seed,"$500,000.00",USD,,,,,-0.6,8.8,9.2,-25.00%,N,0,,
Noctal,https://www.crunchbase.com/organization/noctal,1/1/2024,"Isaiah Chavous, James Paul",11-50,Noctal is a SaaS company building the future of sound design.,"Artificial Intelligence (AI), Audio, Audio Recording and Production, Content Creators, Film, Gaming, SaaS, Social Media, TV, Video Editing","Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Gaming, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software, Video","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",90025,"Black Founded, Black Led, South Asian Led",,Active,Seed,1,"$1,795,000.00",USD,12/2/2024,Seed,"$1,795,000.00",USD,,,,,-0.1,-0.1,0.0,400.00%,N,0,,
Pi Squared,https://www.crunchbase.com/organization/pi-squared,1/1/2023,"Grigore Rosu, Patrick MacKay",11-50,"Pi Squared enables trustless remote computing, AI, and interoperable smart contracts for any blockchain or dApp.","Blockchain, Software","Blockchain and Cryptocurrency, Other, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",60647,,,Active,Seed,1,"$12,500,000.00",USD,7/2/2024,Seed,"$12,500,000.00",USD,2,"Samsung NEXT, Robot Ventures, Polychain, Bloccelerate VC, Ironwood Ventures",,,-0.2,4.0,6.1,14.00%,Y,0,1,
Amigo AI,https://www.crunchbase.com/organization/amigo-ai,2/1/2024,"Ali Khokhar, John Xing",11-50,"Amigo is an AI platform that builds, trains, and deploys Agents to help enterprises scale.","Artificial Intelligence (AI), B2B, Enterprise Software, Generative AI, Software","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10010,,,Active,Seed,1,"$6,300,000.00",USD,11/21/2024,Seed,"$6,300,000.00",USD,2,"General Catalyst, SV Angel, Comma Capital, GSV Ventures, Coho Deeptech",,,-0.5,-1.9,6.5,256.00%,Y,0,30,
Minerva,https://www.crunchbase.com/organization/minerva-2072,3/1/2023,,11-50,Minerva builds artificial intelligence that understands consumer behavior,"Analytics, Artificial Intelligence (AI), Database","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",11249,,,Active,,2,"$8,164,660.00",USD,9/10/2024,Venture - Series Unknown,"$8,164,660.00",USD,,Roman Smolevskiy,,,-0.2,-0.3,3.5,9.00%,N,0,,
PGxAI,https://www.crunchbase.com/organization/pgxai,8/1/2023,"Allan Gobbs, Mike Zack",11-50,Precision medicine platform powered by GenAI and real world evidence.,"Biopharma, Life Science, Medical, Precision Medicine, Software","Biotechnology, Health Care, Science and Engineering, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94306,,,Active,Seed,5,"$1,500,000.00",USD,12/24/2024,Seed,"$2,000,000.00",USD,5,"Google, Microsoft, Amazon Web Services, Intersystems, ATEM Capital Fund LP",,,-0.3,-0.9,-0.4,9.00%,Y,0,3,can send resume to admin@pgx.ai
GenHealth.ai,https://www.crunchbase.com/organization/genhealth,1/1/2023,Ricky Sahu,11-50,GenHealth.ai provides healthcare solutions using generative AI trained on encoded medical events.,"Artificial Intelligence (AI), Developer APIs, Generative AI, Health Care, Information Technology","Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Vienna, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",22180,,$1M to $10M,Active,Seed,2,,,4/2/2024,Seed,"$12,999,995.00",USD,3,"Plug and Play, Craft Ventures, Obvious Ventures",,,-0.3,6.2,3.8,27.00%,Y,0,11,
Sapien,https://www.crunchbase.com/organization/sapien-f38e,9/15/2023,"Edison Qu, Henry Chen, Kelly Ryan, Trevor Koverko",11-50,Sapien is engaged in aiding organizations in preparing data for AI training through a consumer game called 'Train2Earn.',"Artificial Intelligence (AI), Data Management, Information Technology","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,2,"$10,500,000.00",USD,10/30/2024,Seed,"$15,500,000.00",USD,1,"Variant, Yield Guild Games, Primitive Ventures, Gabby Dizon, HFO",,,-0.7,-2.4,-0.3,0.00%,N,0,,can send the resume to careers@sapien.io
UnifyApps,https://www.crunchbase.com/organization/unifyapps,1/1/2023,"Abhinav Singi, Abhishek Khurana, Kavish Manubolu, Pavitar Singh, Rachit Mittal, Rahul Anishetty, Shivam Satrawal, Sumeet Nandal",101-250,UnifyApps automates workflows and quickly connects various applications.,"Finance, Manufacturing","Financial Services, Manufacturing","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$20,000,000.00",USD,11/8/2024,Series A,"$31,000,000.00",USD,2,"Elevation Capital, ICONIQ Growth",11/13/2024,,2.7,0.0,4.3,156.00%,N,0,,
Flywl,https://www.crunchbase.com/organization/flywheel-dynamix,1/1/2024,,11-50,Flywl is a cloud meta-marketplace transforming how enterprises buy and sell cloud software.,"Internet, Marketplace","Commerce and Shopping, Internet Services","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$7,000,000.00",USD,11/20/2024,Seed,"$7,000,000.00",USD,1,"BEENEXT, Storm Ventures, FEBE Ventures, Foster Ventures, Tekton Ventures",8/1/2025,,-0.4,-1.5,7.5,100.00%,N,0,,
Opsin,https://www.crunchbase.com/organization/opsin,1/1/2024,"James Pham, Jeremy Mailen, Oz Wasserman",11-50,Securely Enable AI Without the Risk of Oversharing,"Cyber Security, Generative AI, Information Technology, Machine Learning, SaaS, Security, Software Engineering","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,Southeast Asian Founded,,Active,Seed,2,,,10/7/2024,Seed,"$7,000,000.00",USD,2,"Plug and Play, Race Capital, CapitalX, Lockstep",,,0.0,-0.1,-0.5,18.00%,Y,0,4,2 jobs open 2 months ago
CervoMed,https://www.crunchbase.com/organization/cervomed,1/1/2023,,11-50,CervoMed a clinical-stage firm focused on discovering therapies for brain degenerative illnesses.,"Health Care, Pharmaceutical",Health Care,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2116,,$1M to $10M,Active,IPO,1,"$149,400,000.00",USD,3/28/2024,Post-IPO Debt,"$149,400,000.00",USD,1,"RA Capital Management, Soleus Capital, Armistice Capital, Special Situations Funds",6/10/2025,,-0.8,-2.0,-0.7,7.00%,N,0,,
Lightsynq,https://www.crunchbase.com/organization/lightsynq,1/1/2024,"Bart Machielse, David Levonian, Mihir Bhaskar",11-50,Lightsynq develops universal optical quantum interconnects that bridge the gap to large-scale quantum computers.,"Information Technology, Quantum Computing, Web Development","Information Technology, Science and Engineering, Software","Brighton, Massachusetts, United States","Greater Boston Area, East Coast, New England",2135,,,Active,M&A,1,"$18,000,000.00",USD,11/19/2024,Series A,"$18,000,000.00",USD,1,"Safar Partners, IAG Capital Partners, IQT, Element Six, Murata Manufacturing",,,0.3,3.1,-0.6,0.00%,N,0,,can send resume to careers@lightsynq.com
Trident IoT,https://www.crunchbase.com/organization/trident-iot,1/1/2023,"Bill Scheffler, Laura Otto, Mariusz Malkowski, Michael Lamb",11-50,Trident IoT is a semiconductor vendor and RF technology business focusing on reducing time-to-market for connected device makers.,"Manufacturing, Service Industry","Manufacturing, Other","Carlsbad, California, United States","Greater San Diego Area, West Coast, Western US",,Women Founded,$1M to $10M,Active,Seed,1,"$10,000,000.00",USD,4/11/2024,Seed,"$10,000,000.00",USD,1,Todd Pedersen,1/2/2025,,0.8,6.9,5.2,48.00%,N,0,,https://www.linkedin.com/company/trident-iot/jobs/
Supply Pay,https://www.crunchbase.com/organization/supply-pay,11/11/2023,"J. Ayala, W. Steele",11-50,Supply Pay is a software company that aims to streamline the global supply chain with insightful products & services.,"Artificial Intelligence (AI), FinTech, Information Technology, Logistics","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software, Transportation","Mcallen, Texas, United States",Southern US,,"Hispanic / Latine Founded, Hispanic / Latine Led",,Active,Seed,3,"$2,500,000.00",USD,11/1/2024,Seed,"$2,710,000.00",USD,1,"Antler, Supply Change Capital, Ollin Ventures, Audaz Capital",,,0.3,0.0,8.3,240.00%,Y,0,6,
brand.ai,https://www.crunchbase.com/organization/brand-ai,1/1/2023,"Chelsey Susin Kantor, Michael Carter, Nate Bosshard",11-50,"brand.ai is domain-specific AI for brand builders, agencies, and the Fortune 500.","Artificial Intelligence (AI), Brand Marketing, Marketing, Marketing Automation, Software","Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,Women Founded,,Active,Seed,2,"$5,200,000.00",USD,10/1/2024,Seed,"$6,200,000.00",USD,1,"Uncork Capital, Offline Ventures",,,0.0,-0.1,1.8,129.00%,Y,0,8,
EvolutionaryScale,https://www.crunchbase.com/organization/evolutionaryscale,7/20/2023,Alex Rives,11-50,EvolutionaryScale is a developer of biological artificial intelligence models for therapeutic design.,"Artificial Intelligence (AI), Bioinformatics, Biotechnology, Health Care","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10003,,$1M to $10M,Active,Seed,1,"$142,000,000.00",USD,6/25/2024,Seed,"$142,000,000.00",USD,3,"Lux Capital, NVentures, Amazon Web Services, Daniel Gross, Nat Friedman",,,-0.2,-0.8,-1.3,45.00%,Y,0,7,
DatologyAI,https://www.crunchbase.com/organization/datologyai,9/5/2023,"Amro Abbas, Ari Morcos, Bogdan Gaza, Fan Pan, Jack Urbanek, Josh McGrath, Matthew Leavitt, Ning Cao, Pratyush Maini",11-50,DatologyAI is an AI-data curation startup that develops deep learning tools for automatic selection in data training.,"Artificial Intelligence (AI), Data Center, Data Integration, Database, Information Technology","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94063,,,Active,Early Stage Venture,2,"$46,000,000.00",USD,5/8/2024,Series A,"$57,650,000.00",USD,2,"Radical Ventures, Quiet Capital, Felicis, Amplify Partners, M12 - Microsoft's Venture Fund",,,0.0,-0.2,-0.1,77.00%,Y,0,7,7 jobs open 3 months ago
Pi Health,https://www.crunchbase.com/organization/pi-health,1/1/2023,"Bobby Reddy, Geoffrey Kim",51-100,Pi Health is a provider of platforms to assist oncology-related clinical trials with identifying sites and helping sponsors manage sites,,,"Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",,,,Active,Early Stage Venture,1,"$30,877,444.00",USD,3/14/2024,Series A,"$30,877,444.00",USD,2,"Alumni Ventures, Obvious Ventures, AlleyCorp, Invus",,,6.9,7.5,7.4,-5.00%,N,0,,
OpenGradient,https://www.crunchbase.com/organization/vanna-labs,3/28/2024,"Adam Balogh, Matthew Wang",11-50,OpenGradient is the leading research lab building at the frontier of AI and blockchain computing.,"Artificial Intelligence (AI), Blockchain, Finance, Information Technology, Machine Learning, Web3","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Internet Services, Other, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$8,500,000.00",USD,10/9/2024,Seed,"$8,500,000.00",USD,,"Andreessen Horowitz, Black Dragon Capital, Coinbase Ventures, NEAR, SV Angel",,,6.7,6.2,5.3,-12.00%,N,0,,
Yupp,https://www.crunchbase.com/organization/yupp-6067,1/1/2024,Pankaj Gupta,11-50,Yupp operates as an AI-focused evaluation platform that gamifies human feedback to improve large language models.,"Artificial Intelligence (AI), Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",94039,,,Active,Seed,1,"$33,000,000.00",USD,6/1/2024,Seed,"$33,000,000.00",USD,1,"Coinbase Ventures, a16z crypto, Jeff Dean, Aravind Srinivas, Gokul Rajaram",,,0.0,-0.1,4.5,380.00%,Y,0,10,
Rivet Industries,https://www.crunchbase.com/organization/rivet-industries,1/1/2024,,11-50,Rivet Industries is a company that offers tech services.,"Information Technology, SaaS, Software","Information Technology, Software","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",20007,,,Active,,1,"$12,571,994.00",USD,9/4/2024,Venture - Series Unknown,"$12,571,994.00",USD,,,,,-0.1,7.1,6.9,110.00%,Y,0,20,https://www.linkedin.com/company/rivetindustries/
Spendbase,https://www.crunchbase.com/organization/spendbase,1/1/2023,Andrew Alex,51-100,"The ultimate solution for tracking, optimizing, and reducing software costs","B2B, FinTech, SaaS, Software","Financial Services, Other, Software","Lewes, Delaware, United States","East Coast, Southern US",19958,,,Active,Seed,4,,,10/1/2024,Seed,"$160,008.00",USD,3,"Google for Startups, Ukrainian Startup Fund, Seeds of Bravery, Unpopular Ventures, Glovo Ukraine Startup Lab",,,-0.3,3.5,-0.3,26.00%,Y,0,8,
Danti,https://www.crunchbase.com/organization/danti-97f2,2/1/2023,Jesse Kallman,11-50,Search engine for all of Earth's data,"Artificial Intelligence (AI), Drone Management, Geospatial, Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Navigation and Mapping, Science and Engineering, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",,,$1M to $10M,Active,Seed,3,"$5,000,000.00",USD,5/2/2024,Seed,"$7,825,000.00",USD,3,"Shield Capital, Overline, Tech Square Ventures, Humba Ventures, Radius Capital",,,0.0,6.3,6.2,6.00%,Y,0,1,
